[17:13:10] Test # 60 | Scale:  50% | Res:  540x 960 | ABS:  16.0ms | Adj: -212.36ms
[17:13:10] Test # 61 | Scale:  40% | Res:  432x 768 | ABS:  10.5ms | Adj: -213.68ms
[17:13:10] Test # 62 | Scale:  40% | Res:  432x 768 | ABS:  13.0ms | Adj: -217.05ms
[17:13:11] Test # 63 | Scale:  40% | Res:  432x 768 | ABS:  13.5ms | Adj: -222.92ms
[17:13:11] Test # 64 | Scale:  40% | Res:  432x 768 | ABS:  12.5ms | Adj: -222.77ms
[17:13:11] Test # 65 | Scale:  40% | Res:  432x 768 | ABS:  16.0ms | Adj: -235.03ms
[17:13:11] Test # 66 | Scale:  40% | Res:  432x 768 | ABS:  12.0ms | Adj: -239.96ms
[17:13:11] Test # 67 | Scale:  40% | Res:  432x 768 | ABS:  11.5ms | Adj: -241.0ms
[17:13:11] Test # 68 | Scale:  40% | Res:  432x 768 | ABS:  13.5ms | Adj: -249.79ms
[17:13:11] Test # 69 | Scale:  40% | Res:  432x 768 | ABS:  14.0ms | Adj: -250.27ms
[17:13:11] Test # 70 | Scale:  40% | Res:  432x 768 | ABS:  15.5ms | Adj: -261.08ms
[17:13:11] Test # 71 | Scale:  30% | Res:  324x 576 | ABS:  11.5ms | Adj: -258.28ms
[17:13:11] Test # 72 | Scale:  30% | Res:  324x 576 | ABS:  15.0ms | Adj: -268.41ms
[17:13:11] Test # 73 | Scale:  30% | Res:  324x 576 | ABS:  12.0ms | Adj: -271.21ms
[17:13:11] Test # 74 | Scale:  30% | Res:  324x 576 | ABS:  16.5ms | Adj: -280.01ms
[17:13:11] Test # 75 | Scale:  30% | Res:  324x 576 | ABS:  11.0ms | Adj: -285.37ms
[17:13:12] Test # 76 | Scale:  30% | Res:  324x 576 | ABS:  13.0ms | Adj: -289.32ms
[17:13:12] Test # 77 | Scale:  30% | Res:  324x 576 | ABS:  15.0ms | Adj: -290.21ms
[17:13:12] Test # 78 | Scale:  30% | Res:  324x 576 | ABS:  13.0ms | Adj: -296.91ms
[17:13:12] Test # 79 | Scale:  30% | Res:  324x 576 | ABS:  12.5ms | Adj: -291.27ms
[17:13:12] Test # 80 | Scale:  30% | Res:  324x 576 | ABS:  19.0ms | Adj: -304.66ms
[17:13:12] Test # 81 | Scale:  20% | Res:  216x 384 | ABS:  16.5ms | Adj: -307.87ms
[17:13:12] Test # 82 | Scale:  20% | Res:  216x 384 | ABS:  14.5ms | Adj: -314.85ms
[17:13:12] Test # 83 | Scale:  20% | Res:  216x 384 | ABS:  13.0ms | Adj: -311.49ms
[17:13:12] Test # 84 | Scale:  20% | Res:  216x 384 | ABS:  17.0ms | Adj: -311.09ms
[17:13:12] Test # 85 | Scale:  20% | Res:  216x 384 | ABS:  21.5ms | Adj: -317.11ms
[17:13:12] Test # 86 | Scale:  20% | Res:  216x 384 | ABS:  19.5ms | Adj: -328.43ms
[17:13:12] Test # 87 | Scale:  20% | Res:  216x 384 | ABS:  16.5ms | Adj: -325.3ms
[17:13:12] Test # 88 | Scale:  20% | Res:  216x 384 | ABS:  20.0ms | Adj: -339.51ms
[17:13:12] Test # 89 | Scale:  20% | Res:  216x 384 | ABS:  16.5ms | Adj: -349.38ms
[17:13:13] Test # 90 | Scale:  20% | Res:  216x 384 | ABS:  15.5ms | Adj: -347.18ms
[17:13:13] Test # 91 | Scale:  10% | Res:  108x 192 | ABS:  16.5ms | Adj: -346.57ms
[17:13:13] Test # 92 | Scale:  10% | Res:  108x 192 | ABS:  19.5ms | Adj: -349.79ms
[17:13:13] Test # 93 | Scale:  10% | Res:  108x 192 | ABS:  19.5ms | Adj: -339.96ms
[17:13:13] Test # 94 | Scale:  10% | Res:  108x 192 | ABS:  19.5ms | Adj: -357.15ms
[17:13:13] Test # 95 | Scale:  10% | Res:  108x 192 | ABS:  21.5ms | Adj: -364.59ms
[17:13:13] Test # 96 | Scale:  10% | Res:  108x 192 | ABS:  21.0ms | Adj: -365.04ms
[17:13:13] Test # 97 | Scale:  10% | Res:  108x 192 | ABS:  22.0ms | Adj: -358.97ms
[17:13:13] Test # 98 | Scale:  10% | Res:  108x 192 | ABS:  22.0ms | Adj: -374.33ms
[17:13:13] Test # 99 | Scale:  10% | Res:  108x 192 | ABS:  22.5ms | Adj: -363.18ms
[17:13:13] Test #100 | Scale:  10% | Res:  108x 192 | ABS:  22.5ms | Adj: -386.87ms
